nm0237705	Rick Drew	\N	\N	writer,miscellaneous,producer	tt0329224,tt0448196,tt0088559,tt1327810
nm0242198	Vuka Dundjerovic	1925	1999	actress	tt0200985,tt0201434,tt0324657,tt0201216
nm0246171	Wilfried Dziallas	1944	\N	actor,director,writer	tt1364207,tt0090440,tt0111984,tt3141278
nm0247394	Dudley Early	1903	1967	writer	tt0018689,tt0173340,tt0017053,tt0019834
nm0251664	Bruno Eyron	1964	\N	actor,producer	tt0461004,tt3654580,tt0111889,tt0100486
nm0252222	Predrag Ejdus	1947	\N	actor,music_department	tt1093078,tt0111646,tt2093153,tt1129437
nm0252628	Joe El Dror	\N	\N	actor,writer,director	tt0110796,tt0290238,tt0115909,tt0095275
nm0254548	Mark T. Elliott	\N	\N	producer,cinematographer,actor	tt2011015,tt1358500,tt0203967,tt0819704
nm0254674	William J. Elliott	\N	\N	writer,director	tt0409788,tt0207448,tt0201751,tt0201580
nm0255980	Francisco Elías	1890	1977	writer,director,producer	tt0023728,tt0018871,tt0023823,tt0047219
nm0257700	Ken Englund	1914	1993	writer	tt0045589,tt0039808,tt0029912,tt0036912
nm0258525	Philip G. Epstein	1909	1952	writer,producer	tt0034583,tt0047162,tt0037094,tt0036613
nm0264977	Nacho Faerna	1967	\N	writer,producer,director	tt0201721,tt0198093,tt0472642,tt3343292
nm0265761	Eduardo Fajardo	1924	\N	actor	tt0086486,tt0063293,tt0060315,tt0073012
nm0269493	George Fawcett	1860	1939	actor,director	tt0016884,tt0016104,tt0019558,tt0017416
nm0270035	Jan Fedder	1955	\N	actor	tt0276716,tt0081834,tt0082096,tt0090440
nm0270997	Amir Feldman	\N	\N	director,actor,writer	tt0104834,tt0145453,tt0154130,tt0477497
nm0271070	Krystyna Feldman	1916	2007	actress	tt0425278,tt0090352,tt0251434,tt0245090
nm0272194	Rahela Ferari	1911	1994	actress,art_department	tt0084780,tt0105531,tt0087123,tt0062277
nm0273766	Severo Fernández	1898	1961	actor	tt0189077,tt0123267,tt0194921,tt0201740
nm0276299	Leonard Fields	1900	1973	writer,producer,director	tt0027053,tt0019782,tt0025747,tt0025349
nm0276715	Laura Figueroa	1948	\N	actress	tt0067982,tt0068428,tt0065537
nm0277133	Pavlos Filippou	\N	\N	cinematographer,editor,director	tt0255950,tt0123313,tt0184950,tt0206711
nm0278344	Kaiti Finou	1958	\N	actress	tt0220118,tt0206852,tt0196526,tt0201745
nm0279043	Markus Fischer	\N	\N	producer,director,writer	tt0807720,tt0091599,tt0261679,tt0096508
nm0279675	Mary Ann Fisher	\N	\N	producer,production_manager,director	tt0083557,tt0080421,tt0083959,tt0133987
nm0282549	James Flood	1895	1953	director,assistant_director,writer	tt0023240,tt0027187,tt0027221,tt0023139
nm0284724	Anna Fonsou	1939	\N	actress	tt0180787,tt0145187,tt0139871,tt0121503
nm0285961	Victoria Forde	1896	1964	actress,writer,director	tt0329630,tt0213624,tt0214699,tt0007554
nm0287566	Nikos Foskolos	1927	2013	writer,director,soundtrack	tt0183611,tt0136527,tt0179890,tt0292786
nm0290066	Alec B. Francis	1867	1934	actor,director	tt0021622,tt0023196,tt0012938,tt0004825
